"ID","Sales"
1,4033.93640239576
24825,4470.87630465797
5993,3374.2660544654
37665,5125.69896603545
18833,3511.11203409261
12841,5007.86573103868
19689,3175.84073323526
857,4134.37565228682
15409,4656.68491217351
38521,5500.72418683033
13697,4933.90822762508
7705,3478.40089807233
39377,3814.71518349584
20545,3648.72768489076
1713,4705.80764514824
16265,4864.86495954552
33385,4771.4514704266
27393,4574.84612295482
2569,5366.63858495439
40233,4758.23443853859
21401,4452.62655312883
35953,4539.96408857342
34241,4217.4148090366
3425,4935.85231038565
22257,4028.06091710725
9417,4228.50062920662
30817,3476.18835226091
10273,4365.88587621862
35097,4436.98999077683
23113,4268.69125806637
4281,4422.81720978179
14553,6204.85642972325
8561,4067.32836335959
29961,3422.90968748693
25681,4731.16087744609
5137,3658.73781853969
23969,4313.52035530233
36809,4840.61427199498
17977,3354.83495347409
26537,5444.08415439686
11985,4558.48475949291
6849,3439.65247285717
17121,4029.3906109985
29105,3699.44888528574
32529,3698.89134164863
11129,4340.22442398387
31673,3291.60988130661
28249,4295.6177388026
23970,7425.47435972406
1714,9189.3546484661
24826,7448.0449058644
18834,5289.13403359212
38522,9613.24790857222
5994,6084.65599017564
35954,7597.97103853074
2,7343.3225658336
39378,3850.45223007949
4282,4069.41626376611
29106,6131.50905646455
8562,6016.53861119225
9418,3536.92319543854
25682,8707.42546196311
19690,5308.75527387076
34242,4001.75746773385
16266,4871.55179861481
22258,3844.48817708836
26538,9134.98274947024
20546,5324.52191957471
10274,4472.9665026483
30818,5931.90714283755
37666,8606.10056517844
33386,3343.7161140612
14554,10019.3734145853
858,8104.64993118225
21402,3520.93281481576
2570,9641.22605936595
11130,7259.70409705446
5138,5842.48328943332
40234,4531.5445544855
32530,5671.97987880824
36810,8111.05302325594
11986,7979.92721051748
15410,3284.03218726856
35098,7451.00074068594
29962,6028.41810223929
23114,7100.56600232811
17978,5786.46289657254
31674,5809.35265193009
28250,3974.12422946977
6850,5690.46946227121
13698,8850.4617889453
27394,3640.02600384056
7706,5944.06177559752
17122,6327.98023313977
12842,8222.35301721164
3426,3642.54780501375
4283,6501.09407905149
23971,10258.115020998
24827,10310.4448952349
1715,11629.6116420136
8563,10499.0594701268
5995,8465.03470271929
29107,9090.27410592524
38523,14938.5136982174
34243,7088.77119916331
22259,6726.62351073477
35955,10806.0125841526
3,9117.28688453491
20547,9427.40841129162
39379,5701.57472261443
16267,7027.79081268945
26539,13721.4796697531
23115,10867.6549126298
18835,8049.35239821215
25683,12589.4378194857
37667,12551.2529818422
859,9900.49822443048
17123,9982.23068727996
5139,8720.68201946225
19691,7846.85593064626
9419,4559.47627136561
7707,8716.15839457838
11987,10773.709263131
